"region","data_origin","year","variable","response","percentage"
"San Martin","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.070132576
"San Martin","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.79822962
"Tacna","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.160493118
"Tacna","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.908526197
"Tumbes","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.118805713
"Tumbes","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.861401323
"Ucayali","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.094105811
"Ucayali","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.769532784
"Amazonas","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.8367845416
"Amazonas","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.16321545839999999
"Ancash","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.7807230949
"Ancash","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.2192769051
"Apurimac","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.8704898356999999
"Apurimac","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.1295101643
"Arequipa","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.7357524037
"Arequipa","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.2642475963
"Ayacucho","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.8074578643
"Ayacucho","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.19254213569999998
"Cajamarca","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.8477481008
"Cajamarca","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.15225189919999998
"Callao","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.8684440255
"Callao","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.13155597449999998
"Cusco","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.7090898156
"Cusco","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.2909101844
"Huancavelica","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.8758761287
"Huancavelica","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.12412387130000001
"Huanuco","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.7967242002
"Huanuco","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.2032757998
"Ica","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.7853372693
"Ica","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.2146627307
"Junin","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.7480120063000001
"Junin","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.2519879937
"La Libertad","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.8135073781
"La Libertad","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.1864926219
"Lambayeque","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.7150505184999999
"Lambayeque","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.2849494815
"Lima","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.8671936392999999
"Lima","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.1328063607
"Loreto","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.8306667805
"Loreto","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.16933321950000002
"Madre De Dios","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.754440248
"Madre De Dios","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.245559752
"Moquegua","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.7534316182
"Moquegua","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.24656838179999999
"Pasco","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.7990469336999999
"Pasco","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.20095306629999998
"Piura","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.8323677182
"Piura","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.16763228179999998
"Puno","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.7194177508
"Puno","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.28058224919999997
"San Martin","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.8165335655
"San Martin","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.1834664345
"Tacna","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.7783982158
"Tacna","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.22160178419999998
"Tumbes","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.6180430651000001
"Tumbes","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.38195693490000004
"Ucayali","ENE",2017,"Empleó Equipos Informáticos","Empleó",0.8160649538
"Ucayali","ENE",2017,"Empleó Equipos Informáticos","No empleó",0.18393504619999998
"Amazonas","ENE",2017,"Usó Internet","Usó",0.9351319
"Amazonas","ENE",2017,"Usó Internet","No usó",0.0648681
"Ancash","ENE",2017,"Usó Internet","Usó",0.9145818
"Ancash","ENE",2017,"Usó Internet","No usó",0.0854182
"Apurimac","ENE",2017,"Usó Internet","Usó",0.9044842999999999
"Apurimac","ENE",2017,"Usó Internet","No usó",0.0955157
"Arequipa","ENE",2017,"Usó Internet","Usó",0.9447148999999999
"Arequipa","ENE",2017,"Usó Internet","No usó",0.0552851
"Ayacucho","ENE",2017,"Usó Internet","Usó",0.9259709
"Ayacucho","ENE",2017,"Usó Internet","No usó",0.0740291
"Cajamarca","ENE",2017,"Usó Internet","Usó",0.9403106999999999
"Cajamarca","ENE",2017,"Usó Internet","No usó",0.0596893
"Callao","ENE",2017,"Usó Internet","Usó",0.952612
"Callao","ENE",2017,"Usó Internet","No usó",0.047388
"Cusco","ENE",2017,"Usó Internet","Usó",0.9088247
"Cusco","ENE",2017,"Usó Internet","No usó",0.09117529999999999
"Huancavelica","ENE",2017,"Usó Internet","Usó",0.9615092
"Huancavelica","ENE",2017,"Usó Internet","No usó",0.0384908
"Huanuco","ENE",2017,"Usó Internet","Usó",0.9038787
"Huanuco","ENE",2017,"Usó Internet","No usó",0.0961213
"Ica","ENE",2017,"Usó Internet","Usó",0.9500173
"Ica","ENE",2017,"Usó Internet","No usó",0.0499827
"Junin","ENE",2017,"Usó Internet","Usó",0.8427794
"Junin","ENE",2017,"Usó Internet","No usó",0.1572206
"La Libertad","ENE",2017,"Usó Internet","Usó",0.9713839000000001
"La Libertad","ENE",2017,"Usó Internet","No usó",0.0286161
"Lambayeque","ENE",2017,"Usó Internet","Usó",0.9449378
"Lambayeque","ENE",2017,"Usó Internet","No usó",0.0550622
"Lima","ENE",2017,"Usó Internet","Usó",0.9714571
"Lima","ENE",2017,"Usó Internet","No usó",0.0285429
"Loreto","ENE",2017,"Usó Internet","Usó",0.9397492999999999
"Loreto","ENE",2017,"Usó Internet","No usó",0.060250700000000004
"Madre De Dios","ENE",2017,"Usó Internet","Usó",0.9427321
"Madre De Dios","ENE",2017,"Usó Internet","No usó",0.0572679
"Moquegua","ENE",2017,"Usó Internet","Usó",0.9804811
"Moquegua","ENE",2017,"Usó Internet","No usó",0.0195189
"Pasco","ENE",2017,"Usó Internet","Usó",0.8070258
"Pasco","ENE",2017,"Usó Internet","No usó",0.19297419999999998
"Piura","ENE",2017,"Usó Internet","Usó",0.9343151000000001
"Piura","ENE",2017,"Usó Internet","No usó",0.0656849
"Puno","ENE",2017,"Usó Internet","Usó",0.8367409
"Puno","ENE",2017,"Usó Internet","No usó",0.1632591
"San Martin","ENE",2017,"Usó Internet","Usó",0.9362533
"San Martin","ENE",2017,"Usó Internet","No usó",0.0637467
"Tacna","ENE",2017,"Usó Internet","Usó",0.9101840999999999
"Tacna","ENE",2017,"Usó Internet","No usó",0.0898159
"Tumbes","ENE",2017,"Usó Internet","Usó",0.9715742
"Tumbes","ENE",2017,"Usó Internet","No usó",0.028425799999999998
"Ucayali","ENE",2017,"Usó Internet","Usó",0.9496775000000001
"Ucayali","ENE",2017,"Usó Internet","No usó",0.0503225
"Amazonas","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.5940945148
"Ancash","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.4804534316
"Apurimac","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.6437703967
"Arequipa","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.4697827101
"Ayacucho","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.39202338459999997
"Cajamarca","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.5503947735
"Callao","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.56510818
"Cusco","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.495056808
"Huancavelica","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.8159989119000001
"Huanuco","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.4517478943
"Ica","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.4531876743
"Junin","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.5757283568
"La Libertad","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.4226589799
"Lambayeque","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.4849687517
"Lima","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.5567864776
"Loreto","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.5205301642
"Madre De Dios","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.6340320110000001
"Moquegua","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.5481917858
"Pasco","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.5261572003
"Piura","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.46142417189999996
"Puno","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.410556227
"San Martin","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.42156851289999997
"Tacna","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.5523739457000001
"Tumbes","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.4968250096
"Ucayali","ENE",2017,"Usó Internet para buscar Productos y Servicios","Usó",0.5561932325
"Amazonas","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.40590548519999997
"Ancash","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.5195465683999999
"Apurimac","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.35622960330000003
"Arequipa","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.5302172898999999
"Ayacucho","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.6079766154
"Cajamarca","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.4496052265
"Callao","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.43489182
"Cusco","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.504943192
"Huancavelica","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.18400108810000002
"Huanuco","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.5482521057
"Ica","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.5468123256999999
"Junin","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.42427164320000005
"La Libertad","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.5773410201
"Lambayeque","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.5150312483
"Lima","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.4432135224
"Loreto","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.4794698358
"Madre De Dios","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.365967989
"Moquegua","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.4518082142
"Pasco","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.4738427997
"Piura","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.5385758280999999
"Puno","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.589443773
"San Martin","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.5784314871
"Tacna","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.4476260543
"Tumbes","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.5031749904
"Ucayali","ENE",2017,"Usó Internet para buscar Productos y Servicios","No usó",0.4438067675
"Amazonas","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.6526411772
"Amazonas","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.34735882279999997
"Ancash","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.3832749128
"Ancash","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.6167250872
"Apurimac","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.6474007368
"Apurimac","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.3525992632
"Arequipa","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.4390009642
"Arequipa","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.5609990358
"Ayacucho","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.7254088521
"Ayacucho","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.2745911479
"Cajamarca","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.3387410343
"Cajamarca","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.6612589657
"Callao","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.2688035071
"Callao","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.7311964929
"Cusco","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.4607283473
"Cusco","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.5392716527
"Huancavelica","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.41992184520000003
"Huancavelica","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.5800781548
"Huanuco","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.5368363261
"Huanuco","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.4631636739
"Ica","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.34936165809999997
"Ica","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.6506383419
"Junin","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.4752191007
"Junin","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.5247808992999999
"La Libertad","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.29760450120000004
"La Libertad","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.7023954988000001
"Lambayeque","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.2237851471
"Lambayeque","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.7762148529
"Lima","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.2465085685
"Lima","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.7534914315
"Loreto","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.5750284195
"Loreto","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.4249715805
"Madre De Dios","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.7622659206
"Madre De Dios","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.23773407940000002
"Moquegua","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.38159418110000004
"Moquegua","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.6184058189
"Pasco","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.47644689679999996
"Pasco","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.5235531032
"Piura","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.27396157379999997
"Piura","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.7260384262
"Puno","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.531924665
"Puno","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.468075335
"San Martin","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.4954393506
"San Martin","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.5045606494
"Tacna","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.22230580449999998
"Tacna","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.7776941955
"Tumbes","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.4585230947
"Tumbes","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.5414769053
"Ucayali","ENE",2017,"Tuvo Problemas de Electricidad","Tuvo problemas",0.5240587592
"Ucayali","ENE",2017,"Tuvo Problemas de Electricidad","No tuvo problemas",0.4759412408
